Town,District,Province,Latitude,Longitude,Date,Year,Total Deaths
Near Angor Adda and Afghan border,South Waziristan,FATA,32.509762,69.314117,9/30/2011,2011,4
"Angoor Adda, Bhangar area",South Waziristan,FATA,32.4825,69.2709,10/13/2011,2011,4
Close to Dande Darpa Khel,North Waziristan,FATA,32.998009,70.033211,10/13/2011,2011,6
Close to Miram Shah,North Waziristan,FATA,32.989372,70.058098,10/14/2011,2011,4
"Angoor Adda, Bhangar area",South Waziristan,FATA,32.460228,69.260246,10/15/2011,2011,6
Bobar,North Waziristan,FATA,33.1344,70.4512,10/26/2011,2011,13
"Azam Warsak, 12 miles west of Wana",South Waziristan,FATA,32.327763,69.436302,10/27/2011,2011,6
Mir Ali,North Waziristan,FATA,32.5808,70.1637,10/27/2011,2011,5
Datta Khel,North Waziristan,FATA,32.963783,70.240593,10/30/2011,2011,6
Mubarak Shan near Miranshah,North Waziristan,FATA,32.987213,70.084877,10/31/2011,2011,4
Darpa Khel Sarai,North Waziristan,FATA,32.5917,70.0317,11/03/2011,2011,3
Miranshah,North Waziristan,FATA,32.996284,70.074921,11/15/2011,2011,7
Babar Ghar,South Waziristan,FATA,32.3914,70.1126,11/16/2011,2011,22
Shawal,North Waziristan,FATA,32.3649,69.3029,11/17/2011,2011,7
Miranshah,North Waziristan,FATA,32.997147,70.046082,01/10/2012,2012,4
New Aadda (outside Miranshah),North Waziristan,FATA,32.976414,69.719238,1/13/2012,2012,8
Degan,North Waziristan,FATA,32.981022,69.785156,1/23/2012,2012,5
Spalga,North Waziristan,FATA,33.052414,70.19165,02/08/2012,2012,10
Miranshah,North Waziristan,FATA,33.001755,70.073547,02/09/2012,2012,8
Spalga,North Waziristan,FATA,33.043205,70.188904,2/16/2012,2012,6
Mir Ali,North Waziristan,FATA,33.017876,70.254822,2/16/2012,2012,15
Makin,South Waziristan,FATA,32.79882,69.507751,03/09/2012,2012,13
Nishpa,South Waziristan,FATA,31.840233,70.037842,03/09/2012,2012,6
Uthghalai,South Waziristan,FATA,32.583851,69.483032,3/13/2012,2012,7
Tehsil Bermal,North Waziristan,FATA,32.874973,69.614868,3/13/2012,2012,8
Miranshah,North Waziristan,FATA,33.031693,70.169678,3/30/2012,2012,4
Miranshah,North Waziristan,FATA,33.008663,70.197144,4/29/2012,2012,6
Shawal,North Waziristan,FATA,32.884201,69.598389,05/05/2012,2012,10
Datta Khel Kalai,North Waziristan,FATA,32.906685,69.754257,5/23/2012,2012,4
Mir Ali,North Waziristan,FATA,33.036297,70.268555,5/24/2012,2012,10
Miranshah,North Waziristan,FATA,32.981022,70.037842,5/26/2012,2012,4
Hassokhel (Hassu Khel),North Waziristan,FATA,32.5715,70.1548,5/28/2012,2012,4
Datta Khel,North Waziristan,FATA,32.5418,69.4455,5/28/2012,2012,8
Khawashi Khel,South Waziristan,FATA,32.280167,69.554443,06/02/2012,2012,4
Wacha Dana,South Waziristan,FATA,32.306866,69.446465,06/03/2012,2012,10
Hassokhel,North Waziristan,FATA,32.97411,70.279541,06/04/2012,2012,15
Isha,North Waziristan,FATA,33.004704,70.067268,06/12/2012,2012,4
Miranshah,North Waziristan,FATA,33.005211,70.069847,6/14/2012,2012,4
Shawal,North Waziristan,FATA,32.712776,69.608345,6/26/2012,2012,6
Dre Nishtar Village,North Waziristan,FATA,32.713356,69.608688,07/01/2012,2012,8
Datta Khel village,North Waziristan,FATA,32.906975,69.758377,07/06/2012,2012,21
Shawal,North Waziristan,FATA,32.715954,69.610062,7/23/2012,2012,14
Khushhali Turikhel,North Waziristan,FATA,33.005783,70.246178,7/29/2012,2012,7
Shwedar,North Waziristan,FATA,32.713356,69.608688,8/18/2012,2012,12
Mana,North Waziristan,FATA,32.713932,69.612122,8/19/2012,2012,7
Mana,North Waziristan,FATA,32.71162,69.609375,8/19/2012,2012,3
"Shanakhora, 12 miles west of Miram Shah",North Waziristan,FATA,33.010967,69.831848,8/21/2012,2012,9
Darray Nashtar,North Waziristan,FATA,32.71711,69.616043,8/24/2012,2012,6
Darray Nashtar,North Waziristan,FATA,32.71711,69.616043,8/24/2012,2012,6
Darray Nashtar,North Waziristan,FATA,32.71711,69.616043,8/24/2012,2012,6
Degan,North Waziristan,FATA,32.715668,69.452019,09/01/2012,2012,6
Datta Khel,North Waziristan,FATA,32.905102,69.752785,9/22/2012,2012,4
Datta Khel,North Waziristan,FATA,32.905102,69.752785,9/24/2012,2012,6
"Khaider Kel, Mir Ali",North Waziristan,FATA,32.948757,70.313774,10/01/2012,2012,3
"Hurmuz, east of Miranshah",North Waziristan,FATA,32.991604,70.165199,10/10/2012,2012,5
Bulandkhel,Orakzai,FATA,33.620338,70.750351,10/11/2012,2012,26
Tappi,North Waziristan,FATA,32.947029,70.146835,10/24/2012,2012,5
Sheen Warsak,South Waziristan,FATA,32.243587,69.510155,11/29/2012,2012,7
Sheen Warsak,South Waziristan,FATA,32.241844,69.512215,12/01/2012,2012,4
Mubarak Shahi,North Waziristan,FATA,32.954807,70.168304,12/06/2012,2012,3
Hisukhel,North Waziristan,FATA,32.962585,70.243149,12/21/2012,2012,4
Gurbuz,North Waziristan,FATA,32.713066,69.616074,12/28/2012,2012,4
Angoor Adda,South Waziristan,FATA,32.49007,69.320297,01/02/2013,2013,11
Between Miran Shah and Mir Ali,North Waziristan,FATA,32.98822,70.209503,01/03/2013,2013,6
Babar Ghar,South Waziristan,FATA,32.658455,70.179977,01/06/2013,2013,17
Mir Ali,North Waziristan,FATA,32.971191,70.277908,01/08/2013,2013,5
Essokhel,North Waziristan,FATA,32.953693,70.262802,01/08/2013,2013,3
Heso Khel,North Waziristan,FATA,32.953331,70.262459,01/10/2013,2013,5
Spin Wam,North Waziristan,FATA,33.168594,70.401077,02/06/2013,2013,5
Babar Ghar,South Waziristan,FATA,32.65065,70.185471,02/08/2013,2013,9
Muhammad Khel,North Waziristan,FATA,32.5725,69.5306,03/10/2013,2013,2
Datta Khel,North Waziristan,FATA,32.5418,69.4455,3/22/2013,2013,4
"Manzar Khel, Datta Khel",North Waziristan,FATA,32.90429877,69.74872109,4/14/2013,2013,4
Sararogha,South Waziristan,FATA,32.53805827,69.97741696,4/17/2013,2013,5
Miranshah,North Waziristan,FATA,33.00034982,70.06736752,5/29/2013,2013,7
Mangroti,North Waziristan,FATA,32.62555094,69.49607846,06/07/2013,2013,7
Sarai Darpa Khel,North Waziristan,FATA,33.00538611,70.07612225,07/02/2013,2013,18
"Mosaki Village, Mir Ali",North Waziristan,FATA,32.96453082,70.27301785,7/13/2013,2013,2
"Shinkai Narai, Shawal",North Waziristan,FATA,33.01575629,70.01943108,7/28/2013,2013,8
Mir Ali,North Waziristan,FATA,32.96549398,70.26512143,8/31/2013,2013,4
"Dargah Mandi, Ghulam Khan",North Waziristan,FATA,33.24281527,70.22186276,09/06/2013,2013,6
Shawal,North Waziristan,FATA,33.01620273,69.97398373,9/22/2013,2013,7
"Dargamandi, Miran Shah",North Waziristan,FATA,33.02912948,70.02822873,9/29/2013,2013,6
"Mohammad Khel, Datta Khel",North Waziristan,FATA,33.00120462,70.0399017,9/30/2013,2013,4
Miran Shah,North Waziristan,FATA,32.99196335,70.04814145,10/31/2013,2013,3
"Dande Darpa Khel, Miran Shah",North Waziristan,FATA,33.01711136,70.06818291,11/01/2013,2013,7
Miran Shah,North Waziristan,FATA,32.99505888,70.06530758,11/29/2013,2013,3
"Qutab Khel, Miran Shah",North Waziristan,FATA,32.9869239,70.06959912,12/25/2013,2013,4
Dargah Mandi,North Waziristan,FATA,32.97201981,70.07080075,06/11/2014,2014,6
Miramshah,North Waziristan,Balochistan,32.99736246,70.07629391,06/12/2014,2014,10
Dandey Darpakhel,North Waziristan,FATA,32.96049802,69.98016354,6/18/2014,2014,5
Datta Khel,North Waziristan,FATA,33.0792263,69.91836544,07/10/2014,2014,6
Datta Khel,North Waziristan,FATA,33.05949283,69.9176788,7/16/2014,2014,20
Datta Khel,North Waziristan,FATA,33.02613758,69.94514462,7/19/2014,2014,15
Datta Khel,North Waziristan,FATA,33.04090313,69.98428341,08/06/2014,2014,6
Datta Khel,North Waziristan,FATA,33.04090313,69.98291012,9/24/2014,2014,10
Wana,South Waziristan,FATA,32.31963357,69.57092282,9/28/2014,2014,4
Shawal,South Waziristan,FATA,32.99795289,69.90394589,10/05/2014,2014,5
Shawal,North Waziristan,FATA,32.09064163,69.45831295,10/06/2014,2014,8
Datta Khel,North Waziristan,FATA,32.94195895,69.803009,10/07/2014,2014,7
Datta Khel,North Waziristan,FATA,32.96385443,69.81948849,10/07/2014,2014,4
Datta Khel,North Waziristan,FATA,32.92426655,69.74395749,10/09/2014,2014,4
Shawal Tehsil,North Waziristan,FATA,32.78669718,69.71923825,10/11/2014,2014,4
Tirah Valley,Khyber,FATA,33.7805579,70.6656106,10/11/2014,2014,4
Wana,South Waziristan,FATA,32.26332983,69.45281979,10/30/2014,2014,7
Datta Khel,North Waziristan,FATA,32.90611606,69.74464413,11/11/2014,2014,6
Mada Khel,North Waziristan,FATA,32.90676122,69.75133892,11/20/2014,2014,6
Datta Khel,North Waziristan,FATA,32.96840141,69.8483276,12/06/2014,2014,6
Datta Khel,North Waziristan,FATA,32.94656185,69.81536862,12/20/2014,2014,5
Shawal Valley,North Waziristan,FATA,33.00005289,69.92935177,12/26/2014,2014,9
Datta Khel,North Waziristan,FATA,33.00178048,69.94239804,01/04/2015,2015,8
Tehsil Ladha,South Waziristan,FATA,31.88016221,69.30587765,1/15/2015,2015,6
"Shawal Valley, North Waziristan",North Waziristan,FATA,32.75205508,69.57916256,1/29/2015,2015,7
"Shawal Valley, North Waziristan",FATA,,32.615148,69.51023,04/12/2015,2015,4
Shawal,North Waziristan,,32.614715,69.499587,5/16/2015,2015,5
Shawal,North Waziristan,,32.614715,69.499587,5/18/2015,2015,5
Shawal,North Waziristan,,32.6169196,69.4999301,06/01/2015,2015,4
Shawal,North Waziristan,,32.6169196,69.4999301,06/06/2015,2015,9
Datta Khel,North Waziristan,,32.905929,69.748292,08/06/2015,2015,7
Datta Khel,North Waziristan,,32.9056139,69.7482919,09/01/2015,2015,6
Mangrooti,North Waziristan,,32.704161,69.467315,01/09/2016,2016,5
Shahidano Dhand,Kurram,,33.6656971,70.6284736,2/22/2016,2016,4
Dahl Bandin,Balochistan,,28.948282,64.2718753,5/21/2016,2016,2
"Sara Khwa, Kurram Agency",South Waziristan,,32.2936111,70.1028113,03/02/2017,2017,2
Lawara Mandi,North Waziristan,,33.1440818,70.0212442,4/26/2017,2017,11
Hangu district,Khyber Punkhtunkhwa,,33.4271716,70.6062492,06/12/2017,2017,6
Marghalan,South Waziristan,,32.2399893,69.4364008,07/03/2017,2017,4
Ghuz Ghari,Kurram Agency,,33.7006204,70.171567,9/15/2017,2017,3
Maqbal,Kurram Agency,,33.6920485,70.0474217,10/16/2017,2017,20
Unclear,Kurram Agency,,33.6905281,69.7671562,11/30/2017,2017,4
"Mata Sangar, near Ghuzgarhi",Kurram Agency,,33.795036,69.9818372,12/26/2017,2017,3
Badshah Kot,Kurram Agency,,33.4616987,70.3628775,1/17/2018,2018,0
Speen Thal Dapa Mamuzai,Kurram Agency,,33.6901807,70.0272319,1/24/2018,2018,3
Gorwak,North Waziristan,,32.8453688,69.4870511,02/08/2018,2018,7
Gorwak,North Waziristan,,32.8453688,69.4870511,02/08/2018,2018,3
Tor Tangai,North Waziristan,,33.15,70.4333,07/04/2018,2018,2
