Town,District,Province,Latitude,Longitude,Date,Year,Total Deaths
"Neej Narai, outside Makeen",South Waziristan,FATA,32.609882,69.833221,6/23/2009,2009,6
Makeen,South Waziristan,FATA,32.622604,69.852448,6/23/2009,2009,80
Mantoi area,South Waziristan,FATA,32.592525,69.599075,07/03/2009,2009,10
"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana",South Waziristan,FATA,32.285973,69.988403,07/03/2009,2009,35
"Jangara, Makeen",South Waziristan,FATA,32.623184,69.841461,07/07/2009,2009,16
"Laddha, Karwan Manza",South Waziristan,FATA,32.52771,69.855881,07/08/2009,2009,10
Karwan Manza,South Waziristan,FATA,32.52771,69.863434,07/08/2009,2009,40
Painda Khel,South Waziristan,FATA,32.320793,69.623795,07/10/2009,2009,5
"Gariwan, 19 miles south of Miram Shah",North Waziristan,FATA,32.704109,70.063934,7/17/2009,2009,5
Zangra village of Ladha,South Waziristan,FATA,32.582691,69.849014,08/05/2009,2009,12
"Kani Guram, four miles from Ladha",South Waziristan,FATA,32.524239,69.794769,08/11/2009,2009,14
"Darpa Khel, outside Miram Shah",North Waziristan,FATA,33.003483,70.031662,8/21/2009,2009,21
Tapar Ghai areain the Kanigram district,South Waziristan,FATA,32.509182,69.798889,8/27/2009,2009,8
"Machi Khel, near Mir Ali",North Waziristan,FATA,32.995419,70.31662,09/07/2009,2009,7
"Dargamandi village, 3 miles northwest of Miram Shah",North Waziristan,FATA,33.046082,70.019989,09/08/2009,2009,10
"Toori Khel, near Mir Ali",North Waziristan,FATA,32.959129,70.287094,9/14/2009,2009,6
Near Mir Ali,North Waziristan,FATA,32.97123,70.245895,9/24/2009,2009,12
Sararogha,South Waziristan,FATA,32.493546,70.023422,9/29/2009,2009,6
Danda Darpakhel,North Waziristan,FATA,32.997723,70.041962,9/29/2009,2009,7
"Norak, 12 miles east of Miram Shah",North Waziristan,FATA,32.989082,70.328293,9/30/2009,2009,9
Dandey Darpa Khel,North Waziristan,FATA,32.989658,70.030975,10/15/2009,2009,4
Spalaga,North Waziristan,FATA,32.8935,69.6955,10/21/2009,2009,4
Damadola Bajaur,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,34.818878,71.500397,10/24/2009,2009,24
"Norak, near Mir Ali",North Waziristan,FATA,33.0116,70.0557,11/05/2009,2009,4
"Shanakhora, 12 miles west of Miram Shah",North Waziristan,FATA,33.010967,69.831848,11/18/2009,2009,4
Palooseen Village in Mir Ali,North Waziristan,FATA,33.002331,70.290527,11/20/2009,2009,8
"Aspalga Village, 7 miles southeast of Miram Shah",North Waziristan,FATA,32.869205,70.133972,12/08/2009,2009,3
Deegan village,North Waziristan,FATA,32.821903,69.979477,12/17/2009,2009,14
"Godaivalla, in Datta Khel",North Waziristan,FATA,32.989082,69.693146,12/17/2009,2009,18
"Babrak Ziarat, near Wazgai village of Datta Khel Tehsil",North Waziristan,FATA,32.98505,69.739151,12/18/2009,2009,8
"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah",North Waziristan,FATA,33.07716,70.069427,12/26/2009,2009,14
"Machi Khel, 20 km west of Miram Shah",North Waziristan,FATA,33.009815,69.808502,12/31/2009,2009,5
"Ghundikala village, 15 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,FATA,32.994267,70.207443,01/01/2010,2010,3
"Mosakki village, 25 km east of Miram Shah, in Mir Ali Tehsil",North Waziristan,FATA,32.997723,70.342026,01/03/2010,2010,2
Sanzali area of Datta Khel,North Waziristan,FATA,32.983898,69.75769,01/06/2010,2010,25
